Feature,Coefficient,Odds_Ratio,HC_Std_Error,z_value,p_value,CI_Lower_95,CI_Upper_95,Significant,split_seed,X_features
const,-1.0853817316199363,0.3377728227148319,0.03987545814309449,-27.219291819168713,3.839660890629482e-163,-1.163536193447436,-1.0072272697924367,True,432,LDVAE (vs ctrl)
approval_rate,0.5595908518222618,1.7499563623460475,0.04432346888026038,12.625159220592447,1.5343080269424117e-36,0.4727184491470695,0.646463254497454,True,432,LDVAE (vs ctrl)
ldvae_minusctrl_16,-0.47500487278816567,0.6218820261582596,103401.31670202976,-4.593799072762111e-06,0.9999963346786445,-202663.33169487107,202662.38168512547,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_18,-0.4718230302172032,0.6238639082094792,162142.59815929466,-2.909926420160527e-06,0.9999976782146363,-317794.1245749982,317793.1809289378,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_0,-0.37143420795688226,0.6897443840286038,66789.69551993374,-5.561250205819935e-06,0.999995562764322,-130905.76919167429,130905.02632325837,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_21,-0.3537984253461665,0.7020164618193427,44038.27303968195,-8.033885094162667e-06,0.9999935898871202,-86313.78289754323,86313.07530069254,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_42,0.33335768273043026,1.3956464078209492,70953.81654603581,4.698234696285058e-06,0.9999962513510728,-139066.59163820962,139067.2583535751,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_19,0.31844366634227306,1.3749861610022838,64868.51729929104,4.909063434778914e-06,0.9999960831340774,-127139.63919345755,127140.27608079024,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_29,0.282500002526782,1.3264417784483784,47674.69168799519,5.92557586686853e-06,0.999995272074502,-93440.3961825191,93440.96118252417,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_9,-0.2648243979209657,0.7673406847652273,94905.54572464104,-2.790399611518248e-06,0.9999977735832315,-186011.71637781366,186011.18672901782,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_32,-0.2617223589175221,0.7697247012426351,57009.22094869189,-4.590877660880007e-06,0.9999963370095939,-111736.28156848138,111735.75812376355,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_41,0.25762976426604645,1.2938596968412153,126898.60452783915,2.0302017128133773e-06,0.999998380133398,-248716.4369331919,248716.95219272043,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_34,0.23304815905335471,1.262442275888219,96796.74216189783,2.4076033330085527e-06,0.9999980790104721,-189717.89540997046,189718.36150628855,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_44,0.2328740607438014,1.2622225059534202,87604.20161486293,2.6582521894051707e-06,0.9999978790216194,-171700.84718545625,171701.31293357775,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_8,0.2299451847063066,1.2585310212911245,86713.34366574013,2.651785469058742e-06,0.9999978841813156,-169954.8006187104,169955.2605090798,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_46,0.20510392720179482,1.2276526448377072,152104.59430657278,1.3484400529572422e-06,0.9999989241005006,-298119.3216200316,298119.73182788596,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_48,0.1855883404200791,1.203926550454745,91364.75561161299,2.0312902845053935e-06,0.9999983792648435,-179071.44486672484,179071.81604340568,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_40,0.16606353149523667,1.1806481076802597,415691.81796195114,3.994871304164969e-07,0.9999996812553864,-814740.8258098731,814741.1579369361,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_31,-0.16212287233669403,0.8503367152617626,188225.78600916825,-8.613212661988684e-07,0.9999993127650598,-368915.92366258526,368915.59941684065,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_25,0.15521423147074886,1.1679081369842808,115717.55301454687,1.3413196825138263e-06,0.9999989297817342,-226802.08107338476,226802.39150184768,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_14,-0.1452443810290176,0.8648109239009921,85025.1295226412,-1.7082523936684003e-06,0.9999986370117891,-166646.3368896111,166646.046400849,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_30,-0.14272508626882938,0.8669923842471566,40474.864564976306,-3.5262647028677692e-06,0.9999971864478363,-79329.41955157627,79329.13410140375,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_1,0.11765881986620416,1.124860265914818,47558.83848281628,2.473963276220803e-06,0.9999980260628979,-93213.49291405758,93213.72823169733,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_12,0.10873910860540721,1.114871452028753,72294.35171094009,1.5041162418910252e-06,0.999998799888873,-141694.2169000056,141694.4343782228,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_49,0.10413872774633172,1.1097543979638609,53161.60418401782,1.958908677508256e-06,0.9999984370170102,-104194.72542232103,104194.93369977653,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_37,-0.09626734765803882,0.908221172804833,384697.2548953837,-2.50241836750871e-07,0.999999800335902,-753992.8608137248,753992.6682790294,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_36,0.09402820465585326,1.0985907308536993,94717.4331418427,9.927233196347572e-07,0.9999992079213901,-185642.66363788754,185642.85169429684,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_23,0.09157191822668237,1.0958955887258666,61343.95465425236,1.4927618987527177e-06,0.999998808948328,-120231.85021967463,120232.03336351107,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_43,-0.09113124983092213,0.9128978853427954,123712.94891913988,-7.366346904436536e-07,0.9999994122505536,-242473.0154340074,242472.83317150775,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_5,-0.08887860512080359,0.9149566378835222,99011.39938917365,-8.976603266807476e-07,0.9999992837706845,-194058.86574029655,194058.68798308633,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_10,-0.08357390873253406,0.9198231011993422,113898.75204095754,-7.337561407387609e-07,0.9999994145473039,-223237.53545824348,223237.36831042604,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_6,-0.08171948830867944,0.9215304225010135,39742.70464737769,-2.056213562558115e-06,0.9999983593789448,-77894.35147656122,77894.1880375846,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_45,-0.08100826816973054,0.9221860666221645,154753.0697690249,-5.234679240330328e-07,0.9999995823330253,-303310.5242525712,303310.3622360349,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_3,0.07897988910748095,1.082182558194356,94830.23218260359,8.328555914046328e-07,0.9999993354773823,-185863.7607435851,185863.9187033633,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_15,-0.07472589885768408,0.9279978167324665,40621.71274322552,-1.839555592597363e-06,0.999998532246994,-79617.16869295263,79617.01924115492,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_27,-0.0710510089162436,0.9314143804777216,53356.82549436776,-1.3316198678975683e-06,0.9999989375210665,-104577.5273493583,104577.38524734047,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_17,0.06510721361729276,1.067273444497011,154218.1494872183,4.2217607871561764e-07,0.9999996631522249,-302261.9536501484,302262.08386457566,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_26,0.051899060784138716,1.0532694209580056,31868.209265300997,1.6285527797336223e-06,0.9999987006028807,-62460.49051271483,62460.59431083639,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_33,-0.051456764857259314,0.9498447157463173,88948.61174922319,-5.784999208569289e-07,0.9999995384238447,-174336.1269600786,174336.02404654888,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_28,0.03816802892561071,1.0389057844360012,48983.988738400374,7.791939755957312e-07,0.999999378293157,-96006.81557835141,96006.89191440927,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_13,-0.03506147009280394,0.9655460622272847,45021.927730137315,-7.787643013192009e-07,0.9999993786359874,-88241.39192710437,88241.3218041642,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_22,0.030147932966437804,1.0306069834253773,83954.35260838945,3.5909910599948047e-07,0.9999997134803675,-164547.47730988672,164547.53760575264,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_2,-0.02944106753318388,0.9709880986789935,95246.6792340996,-3.091033490083461e-07,0.9999997533712102,-186680.09038694183,186680.03150480674,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_47,0.02023845212875468,1.0204446382143761,51917.23649307502,3.898214445881415e-07,0.9999996889674879,-101755.89346482349,101755.93394172774,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_24,-0.018763378444535458,0.981411557899855,51836.64919462023,-3.6197128356210917e-07,0.9999997111887013,-101597.9842640713,101597.9467373144,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_35,-0.01856258851235412,0.9816086352449189,66466.23031308678,-2.792784911212162e-07,0.9999997771680038,-130271.43616438299,130271.39903920598,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_11,0.017207087981347142,1.0173559827086416,149506.39254614455,1.1509265716538671e-07,0.9999999081693458,-293027.1276418629,293027.1620560389,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_39,0.011260280739890263,1.011323916328295,50955.16360986852,2.2098409547073807e-07,0.999999823680202,-99870.27424140753,99870.296761969,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_20,-0.008461636563789504,0.9915740623215877,85519.66865031149,-9.894374823163776e-08,0.9999999210543109,-167615.47898604622,167615.46206277312,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_4,-0.003548932054279624,0.9964573579619365,113589.50182749605,-3.124348638899085e-08,0.9999999750713046,-222631.33615267096,222631.32905480685,False,432,LDVAE (vs ctrl)
ldvae_minusctrl_38,0.0035180065477389316,1.0035242019958526,74247.5687631089,4.738211104209126e-08,0.9999999621945451,-145522.557197348,145522.56423336113,False,432,LDVAE (vs ctrl)
