Feature,Coefficient,Odds_Ratio,HC_Std_Error,z_value,p_value,CI_Lower_95,CI_Upper_95,Significant,split_seed,X_features
const,-1.1078602230152717,0.33026489876046133,0.04085330851506828,-27.118004961743797,6.039637690980767e-162,-1.187931236354109,-1.0277892096764343,True,432,LDVAE
18,-0.8853727569716104,0.41256035986297007,192197.46973063986,-4.606578630886448e-06,0.9999963244820324,-376701.00396453834,376699.2332190244,False,432,LDVAE
approval_rate,0.773399807111307,2.1671215386433915,0.07672709008246978,10.07987930051852,6.780936841654818e-24,0.6230174739111058,0.9237821403115081,True,432,LDVAE
48,0.6310501717506465,1.8795834285874005,140864.59217848215,4.479835294245383e-06,0.9999964256085838,-276088.8963165759,276090.15841691935,False,432,LDVAE
21,-0.49650126153839685,0.6086564685158906,74165.05679249672,-6.694544344886525e-06,0.9999946585264257,-145361.33672592283,145360.34372339974,False,432,LDVAE
34,0.4482808019139596,1.565618262539673,131629.2639475687,3.405631760521895e-06,0.9999972826989985,-257988.1683679493,257989.06492955313,False,432,LDVAE
29,0.41409476439083986,1.5130004986616137,66804.96522164553,6.1985626819347355e-06,0.999995054262537,-130934.91172811172,130935.7399176405,False,432,LDVAE
46,0.3936580912229027,1.4823936186284532,396765.0156901985,9.921693588284463e-07,0.9999992083633868,-777644.7474201673,777645.5347363497,False,432,LDVAE
42,0.3723672288034357,1.4511657933330797,102248.01438430141,3.641804010040579e-06,0.999997094260807,-200402.05331673534,200402.79805119298,False,432,LDVAE
6,-0.3688850665151992,0.6915048829491495,84784.32448586226,-4.350864015867822e-06,0.9999965285127757,-166174.59133091397,166173.85356078096,False,432,LDVAE
16,-0.35861932977274247,0.6986402522816862,139127.4502097935,-2.577631727110445e-06,0.9999979433474415,-272685.1502914146,272684.4330527551,False,432,LDVAE
7,-0.32538332730360264,0.7222504422570595,89494.75918279149,-3.635780801856932e-06,0.9999970990666317,-175406.8301866839,175406.1794200293,False,432,LDVAE
26,0.3246880946749428,1.3835990267678924,54263.72978694734,5.9835196723437105e-06,0.9999952258420342,-106354.63136113546,106355.28073732479,False,432,LDVAE
9,-0.26795941208697793,0.7649388277434083,148431.93791806145,-1.805267894803738e-06,0.9999985596046186,-290921.52043429774,290920.9845154736,False,432,LDVAE
37,-0.2671633897669162,0.7655479785404234,707516.8960263188,-3.776070808589963e-07,0.9999996987131401,-1386707.9018285447,1386707.367501765,False,432,LDVAE
41,0.26655708905754005,1.3054621148098131,194803.49382301504,1.368338338426904e-06,0.9999989082239659,-381807.56539859134,381808.09851276944,False,432,LDVAE
19,0.26160124843387605,1.2990084574858245,85663.50777201533,3.0538236786905928e-06,0.9999975634012354,-167897.12842126863,167897.6516237655,False,432,LDVAE
33,0.25019422895690746,1.2842748358264928,144462.53445354145,1.731896992554626e-06,0.9999986181461288,-283141.114450089,283141.6148385469,False,432,LDVAE
3,0.22342219905053573,1.2503483582027657,199455.2175531075,1.120162218825119e-06,0.99999910623986,-390924.8195104929,390925.26635489095,False,432,LDVAE
23,0.22160595423483093,1.248079480521722,98140.49860655637,2.2580479759252652e-06,0.9999981983383824,-192351.62108769963,192352.0642996081,False,432,LDVAE
49,0.2173266975809609,1.2427500392563804,128874.48283966881,1.6863438967303902e-06,0.9999986544922406,-252589.12756527853,252589.56221867367,False,432,LDVAE
0,0.21126089123010514,1.2352345748951152,85386.77078306177,2.474164197716833e-06,0.9999980259025858,-167354.7842300868,167355.20675186926,False,432,LDVAE
2,-0.2091199061997879,0.8112979501568625,305091.8785608547,-6.854325562064285e-07,0.9999994531039459,-597969.3030748493,597968.8848350369,False,432,LDVAE
15,0.20393244620731743,1.226215315163037,65013.37312143242,3.1367768878321543e-06,0.9999974972141505,-127423.66589902573,127424.07376391815,False,432,LDVAE
44,0.18781502819365248,1.206610305818682,121438.62498323257,1.5465839490490337e-06,0.9999987660045451,-238015.1434841737,238015.51911423006,False,432,LDVAE
8,0.1838395595367538,1.2018229865906174,186074.92383450214,9.879867515101792e-07,0.9999992117006247,-364699.96530209837,364700.3329812175,False,432,LDVAE
5,-0.18167421709649667,0.8338729577225154,124241.88350372075,-1.4622622578887092e-06,0.9999988332835206,-243509.79871293085,243509.43536449663,False,432,LDVAE
39,-0.17896892073558646,0.8361318853571708,88763.29584614838,-2.0162491605290283e-06,0.999998391265924,-173973.04197644533,173972.68403860388,False,432,LDVAE
27,-0.1689931912914182,0.8445146534206274,76126.79013099465,-2.219891197312068e-06,0.999998228783087,-149205.93590858002,149205.59792219743,False,432,LDVAE
43,0.16692368331238036,1.1816640811785737,241428.75731643688,6.913993393653437e-07,0.9999994483431418,-473191.502248794,473191.83609616064,False,432,LDVAE
30,-0.15970221076122984,0.8523975860035881,85487.49390018552,-1.8681353666502002e-06,0.9999985094436334,-167552.56887516196,167552.2494707404,False,432,LDVAE
32,-0.1534213427505506,0.8577682312351413,68913.58334736069,-2.2262859555165835e-06,0.9999982236808082,-135068.29482776893,135067.98798508343,False,432,LDVAE
36,0.1471064213328535,1.1584772431622188,181661.2659564175,8.097841912438611e-07,0.9999993538856963,-356049.39155410917,356049.6857669519,False,432,LDVAE
14,-0.14197321314336958,0.8676444976433985,134859.67619208797,-1.0527476941376415e-06,0.9999991600288685,-264320.2502764393,264319.96633001306,False,432,LDVAE
4,0.12186033777423887,1.1295963288256188,151583.01560107776,8.039181519843866e-07,0.9999993585661184,-297097.1293857478,297097.37310642336,False,432,LDVAE
1,-0.09296653696728416,0.9112239921042228,88634.51862634602,-1.0488750704361638e-06,0.9999991631187751,-173720.55726121974,173720.37132814582,False,432,LDVAE
47,-0.09163407451730943,0.9124389731357566,94612.00371743846,-9.685248268388576e-07,0.9999992272289939,-185436.21142542362,185436.0281572746,False,432,LDVAE
10,0.08314737485631107,1.0867019492912184,230191.19290153793,3.612100611159201e-07,0.9999997117960691,-451166.36449795164,451166.53079270135,False,432,LDVAE
25,0.07907045304940738,1.0822805693507815,259603.80300388052,3.045812585735712e-07,0.9999997569793163,-508814.0250667838,508814.18320768996,False,432,LDVAE
22,0.06671780800980079,1.0689937741267381,122404.3732649088,5.450606561696077e-07,0.9999995651045177,-239908.0964316107,239908.22986722674,False,432,LDVAE
38,-0.055837642524880736,0.9456926636999824,119805.25268709319,-4.660700701555819e-07,0.9999996281298867,-234814.0362630657,234813.92458778067,False,432,LDVAE
20,-0.04731888975211331,0.9537831974023983,137178.03128936337,-3.44945100227447e-07,0.9999997247736302,-268864.0481161506,268863.9534783711,False,432,LDVAE
11,-0.04724276071070252,0.9538558107668881,225855.78878312817,-2.0917223758238973e-07,0.9999998331047011,-442669.25895757746,442669.164472056,False,432,LDVAE
17,0.043427089252539366,1.0443838447292433,191038.52262829454,2.2732111123490975e-07,0.999999818623995,-374428.5805841082,374428.66743828665,False,432,LDVAE
35,-0.041893227562730374,0.9589721669019021,84115.4926129066,-4.98044132672681e-07,0.9999996026182759,-164863.37795636946,164863.29416991436,False,432,LDVAE
40,-0.040258732800171455,0.9605408835664841,536863.017421608,-7.498883606012213e-08,0.9999999401675654,-1052232.219036584,1052232.1385191183,False,432,LDVAE
13,-0.039118939423452855,0.9616363258739905,84214.09157758913,-4.64517739141214e-07,0.9999996293684678,-165056.62560177204,165056.5473638932,False,432,LDVAE
