Feature,Coefficient,Odds_Ratio,HC_Std_Error,z_value,p_value,CI_Lower_95,CI_Upper_95,Significant,split_seed,X_features
const,-1.0281910732162889,0.35765334447641445,0.039376375283756086,-26.111877129544933,2.6726150353666024e-150,-1.105367350614184,-0.9510147958183938,True,432,mrVI
X22,-0.22517511577958743,0.7983763982119652,0.10979137245407068,-2.0509363417766324,0.04027314645225103,-0.44036225160278897,-0.009987979956385923,True,432,mrVI
X18,0.2166191566590715,1.241871053743706,0.10620375969046783,2.0396561975810528,0.041384580523733276,0.008463612643007795,0.42477470067513523,True,432,mrVI
X14,-0.19887113137332546,0.819655514407646,0.11831563272359671,-1.680852536519148,0.09279156110329123,-0.4307655103196437,0.03302324757299277,False,432,mrVI
approval_rate,0.1864339208366067,1.2049449976975861,0.06767116669827918,2.7549978806756346,0.005869251564623851,0.05380087131617323,0.3190669703570402,True,432,mrVI
X17,0.15934277274106584,1.1727398610508668,0.10258695049336744,1.5532460217868338,0.12036437038772992,-0.04172395550972788,0.36040950099185953,False,432,mrVI
X3,-0.15556538737326428,0.8559311080122708,0.11338793444733535,-1.3719747884244144,0.1700712864288888,-0.3778016551714301,0.06667088042490155,False,432,mrVI
X28,-0.15320327899252006,0.857955299794859,0.12868024394770913,-1.190573426755207,0.2338210887143215,-0.4054119226518582,0.09900536466681809,False,432,mrVI
X20,0.13056179835196516,1.1394683549842244,0.11548955847311963,1.130507381603278,0.2582624898204522,-0.09579357684578196,0.3569171735497123,False,432,mrVI
X8,-0.11421175277500137,0.8920690377869046,0.2004395632742029,-0.5698064339661267,0.5688089912312484,-0.5070660778693764,0.2786425723193736,False,432,mrVI
X26,0.10688643155252857,1.1128078674408324,0.12794072744149573,0.8354371097460361,0.4034716428415017,-0.1438727863886584,0.3576456494937156,False,432,mrVI
X11,0.10235644962998469,1.107778268515086,0.08634154979028927,1.1854831176715408,0.23582648573441245,-0.06686987832835414,0.2715827775883235,False,432,mrVI
X9,-0.10119151006152893,0.9037599371904308,0.08817642347999646,-1.1476027952583612,0.25113257532401156,-0.274014124367874,0.07163110424481611,False,432,mrVI
X1,-0.09131620854894786,0.9127290525342652,0.09296046654822179,-0.9823122875741915,0.3259460228756721,-0.27351537496950307,0.09088295787160734,False,432,mrVI
X23,-0.07927313899832154,0.9237875675715355,0.13327392784602274,-0.594813556406241,0.5519681048492582,-0.34048523765471594,0.18193895965807283,False,432,mrVI
X27,0.07089285952558498,1.0734662080281379,0.13113801215129278,0.5405973322502137,0.5887851570611737,-0.18613292129512482,0.3279186403462948,False,432,mrVI
X10,0.06596921632783478,1.068193833731073,0.09311126480139434,0.7084987672388153,0.47863557745719376,-0.11652550923787014,0.2484639418935397,False,432,mrVI
X6,0.06091392154285564,1.0628074254262239,0.08580379569226143,0.7099210594520285,0.4777530902093702,-0.10725842775080982,0.22908627083652108,False,432,mrVI
X19,0.06030104126006792,1.062156251277061,0.09897922978699021,0.6092292432446657,0.5423724994643576,-0.13369468433994702,0.25429676686008285,False,432,mrVI
X13,-0.05834733134455789,0.9433222451456965,0.07384131169600211,-0.7901719241495667,0.4294273701430362,-0.20307364283991827,0.0863789801508025,False,432,mrVI
X4,-0.05699666508122261,0.9445972195162751,0.14618446947175365,-0.3898954881266353,0.6966138303687086,-0.34351296034495477,0.22951963018250957,False,432,mrVI
X15,-0.055098884058901024,0.9463915602876051,0.09405082454968391,-0.5858415842999242,0.5579819759413297,-0.23943511289257702,0.129237344774775,False,432,mrVI
X12,0.05265812689925484,1.054069225599441,0.09653822269610927,0.545464018588951,0.5854344208824944,-0.13655331271662657,0.24186956651513625,False,432,mrVI
X5,-0.044614744520824506,0.9563658560555917,0.08318187708077948,-0.5363517401452518,0.5917154781215973,-0.20764822776559005,0.11841873872394104,False,432,mrVI
X16,-0.043640133483490044,0.957298395132256,0.09893101606492571,-0.4411168025894955,0.6591284398435557,-0.23754136192469796,0.15026109495771786,False,432,mrVI
X30,0.04293605485501949,1.0438711422248517,0.07205684421195115,0.5958636590956649,0.5512663123139663,-0.09829276464001822,0.18416487435005718,False,432,mrVI
X2,-0.031514379898504946,0.9689770225623179,0.07123939081059726,-0.4423729560278189,0.6582193455436407,-0.17114102016784927,0.10811226037083937,False,432,mrVI
X7,0.02542017152989584,1.0257460192665975,0.1164609139249721,0.21827212816028854,0.8272170894123315,-0.20283902536966875,0.25367936842946043,False,432,mrVI
X25,0.024819655871647986,1.0251302276354064,0.0838615542097828,0.2959598841867478,0.7672607174390329,-0.13954597006707964,0.18918528181037564,False,432,mrVI
