indication_mesh_term	organ
Neoplasms	
Breast Neoplasms	Breast
Pancreatic Neoplasms	Pancreas
Colorectal Neoplasms	Bowel
Inflammation	
Carcinoma, Non-Small-Cell Lung	Lung
Prostatic Neoplasms	
Ovarian Neoplasms	Ovary/Fallopian Tube
Brain Neoplasms	CNS/Brain
Glioblastoma	CNS/Brain
Medulloblastoma	CNS/Brain
Melanoma	Skin
COVID-19	Lung
Leukemia, Myeloid, Acute	
Arthritis, Rheumatoid	Skin
Hematologic Neoplasms	
Nervous System Diseases	
Alzheimer Disease	CNS/Brain
Multiple Myeloma	
Liver Neoplasms	Liver
Psoriasis	Skin
Head and Neck Neoplasms	
Kidney Neoplasms	Kidney
Multiple Sclerosis	CNS/Brain
Autoimmune Diseases	
Lung Neoplasms	Lung
Asthma	Lung
Lymphoma	
Diabetes Mellitus, Type 2	
Parkinson Disease	CNS/Brain
Inflammatory Bowel Diseases	Bowel
Non-alcoholic Fatty Liver Disease	Liver
Stomach Neoplasms	Esophagus/Stomach
Urinary Bladder Neoplasms	Bladder/Urinary Tract
Myelodysplastic Syndromes	
Neuralgia	Peripheral Nervous System
Lymphoma, Non-Hodgkin	
Pulmonary Disease, Chronic Obstructive	Lung
Nociceptive Pain	
Brain Ischemia	CNS/Brain
Stroke	CNS/Brain
Idiopathic Pulmonary Fibrosis	Lung
Diabetes Mellitus	
Cardiovascular Diseases	
Colitis, Ulcerative	Bowel
Obesity	
Immune System Diseases	
Leukemia, Lymphocytic, Chronic, B-Cell	
Sarcoma	
Crohn Disease	Bowel
Precursor Cell Lymphoblastic Leukemia-Lymphoma	
Heart Failure	
Graft vs Host Disease	
Dermatitis, Atopic	Skin
Esophageal Neoplasms	Esophagus/Stomach
Small Cell Lung Carcinoma	Lung
Atherosclerosis	
Leukemia	
Lupus Erythematosus, Systemic	Skin
Respiratory Distress Syndrome	Lung
Myocardial Infarction	
Amyotrophic Lateral Sclerosis	CNS/Brain
Eye Diseases	
Endometrial Neoplasms	Uterus
Arthritis	
Bile Duct Neoplasms	
Peritoneal Neoplasms	
Lymphoma, Large B-Cell, Diffuse	
Depression	
Schizophrenia	
Hypertension, Pulmonary	Lung
Lymphoma, B-Cell	
Mesothelioma	
Diabetic Retinopathy	
Fallopian Tube Neoplasms	Ovary/Fallopian Tube
Liver Cirrhosis	Liver
Osteoarthritis	
HIV Infections	
Diabetic Nephropathies	Kidney
Brain Injuries, Traumatic	CNS/Brain
Anxiety Disorders	
Diabetes Mellitus, Type 1	
Wound Healing	
Uterine Cervical Neoplasms	Cervix
Scleroderma, Systemic	Skin
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	
Scleroderma, Diffuse	Skin
Scleroderma, Limited	Skin
Wet Macular Degeneration	
Glaucoma	
Musculoskeletal Pain	
Diabetic Neuropathies	Peripheral Nervous System
Thyroid Neoplasms	
Depressive Disorder, Major	
Epilepsy	CNS/Brain
Kidney Failure, Chronic	Kidney
Huntington Disease	CNS/Brain
Lymphoma, Mantle-Cell	
Hyperlipidemias	
Macular Edema	
Osteoporosis	
Infections	
Sepsis	
Dry Eye Syndromes	
Neoplasms, Squamous Cell	
Neuroblastoma	
Hypertension	
Migraine Disorders	CNS/Brain
Hodgkin Disease	
Irritable Bowel Syndrome	Bowel
Cytokine Release Syndrome	
Eczema	Skin
Spinal Cord Injuries	CNS/Brain
Carcinoma, Neuroendocrine	
Lymphoma, T-Cell	
Osteosarcoma	
Skin Diseases	Skin
Thrombosis	
Lymphoma, Follicular	
Diabetes Complications	
Peripheral Vascular Diseases	
Cystic Fibrosis	
Pneumonia	Lung
Hepatitis C	Liver
Primary Myelofibrosis	
Uveitis	
Geographic Atrophy	
Ischemia	
Pain, Postoperative	
Gastrointestinal Stromal Tumors	Bowel
Cachexia	
Acne Vulgaris	Skin
Bone Neoplasms	
Hypercholesterolemia	
Psychotic Disorders	
Leukemia, Myelomonocytic, Chronic	
Dementia	CNS/Brain
Hepatitis B	Liver
Sarcoma, Ewing	
Multiple Sclerosis, Relapsing-Remitting	CNS/Brain
Blood Coagulation Disorders	
Coronary Restenosis	
Cancer Pain	
Anemia, Sickle Cell	
Hypersensitivity	
Sjogren's Syndrome	Skin
Lymphoma, T-Cell, Peripheral	
Rhinitis, Allergic	Lung
Alcoholism	
Anemia	
Surgical Procedures, Operative	
Muscular Dystrophy, Duchenne	CNS/Brain
Pruritus	Skin
Arthritis, Psoriatic	Skin
Lymphoma, T-Cell, Cutaneous	Skin
Multiple Sclerosis, Chronic Progressive	CNS/Brain
Bipolar Disorder	
Waldenstrom Macroglobulinemia	
Urethral Neoplasms	Bladder/Urinary Tract
Influenza, Human	Lung
Diabetic Foot	Skin
Urinary Bladder, Overactive	Bladder/Urinary Tract
Fibromyalgia	CNS/Brain
Liver Cirrhosis, Biliary	Liver
Polycythemia Vera	
Urinary Incontinence	Bladder/Urinary Tract
Neuroendocrine Tumors	
Angina Pectoris	
Atrial Fibrillation	
Attention Deficit Disorder with Hyperactivity	
Sleep Wake Disorders	CNS/Brain
Neuralgia, Postherpetic	Peripheral Nervous System
Conjunctivitis, Allergic	
Retinitis Pigmentosa	
Tobacco Use Disorder	
Endometriosis	Uterus
Spondylitis, Ankylosing	
Hypertriglyceridemia	
Adrenal Gland Neoplasms	Kidney
Nausea	
Vomiting	
Epilepsies, Partial	CNS/Brain
Lymphoma, B-Cell, Marginal Zone	
Rhabdomyosarcoma	
Acute Coronary Syndrome	
Alopecia	Skin
Nasopharyngeal Neoplasms	
Psychomotor Agitation	CNS/Brain
Thrombocytopenia	
Rhinitis, Allergic, Seasonal	Lung
Sleep Initiation and Maintenance Disorders	CNS/Brain
Vasculitis	
Hidradenitis Suppurativa	Skin
Gout	
Menopause	
Myasthenia Gravis	
Thalassemia	
Carcinoma, Merkel Cell	
Cocaine-Related Disorders	
Erectile Dysfunction	
Neoplasms, Basal Cell	Skin
Dyskinesia, Drug-Induced	Skin
Glomerulonephritis, IGA	Kidney
Opioid-Related Disorders	
Prostatic Hyperplasia	
Retinal Diseases	
Rosacea	Skin
Lewy Body Disease	CNS/Brain
Cough	Lung
Tuberculosis	
Alopecia Areata	Skin
Apnea	Lung
Sarcoma, Kaposi	
Thrombocytosis	
Keratosis, Actinic	Skin
Arthritis, Juvenile	Skin
Contraception	
Encephalomyocarditis virus	
Mastocytosis	
Postoperative Complications	
Retinal Vein Occlusion	
Venous Thrombosis	
Papillomavirus Infections	
Corneal Injuries	CNS/Brain
Anus Neoplasms	Bowel
Colitis	Bowel
Lennox Gastaut Syndrome	CNS/Brain
Prader-Willi Syndrome	CNS/Brain
Sexual Dysfunction, Physiological	
Purpura, Thrombocytopenic, Idiopathic	
Sexual Dysfunctions, Psychological	
Constipation	
Gastroesophageal Reflux	Esophagus/Stomach
Urticaria	Skin
Gastroparesis	
Behcet Syndrome	Skin
Dyspepsia	
Epidermolysis Bullosa	Skin
Epilepsies, Myoclonic	CNS/Brain
Hypotension	
Muscular Atrophy, Spinal	CNS/Brain
Radiation Injuries	
Anemia, Hemolytic, Autoimmune	
Neuromyelitis Optica	CNS/Brain
Neutropenia	
Binge-Eating Disorder	
Eosinophilic Esophagitis	Esophagus/Stomach
Burns	
Lipodystrophy	Skin
Pemphigus	Skin
Respiratory Tract Infections	Lung
Vitiligo	Skin
Ileus	Bowel
Anesthesia	
Angina, Unstable	
Bacterial Infections	
Bronchiolitis Obliterans	Lung
Infertility, Female	
Menstruation Disturbances	
Muscle Spasticity	CNS/Brain
Obsessive-Compulsive Disorder	
Spinocerebellar Ataxias	CNS/Brain
Pituitary ACTH Hypersecretion	CNS/Brain
Anorexia	
Emphysema	Lung
Epilepsy, Absence	CNS/Brain
Fever	
Friedreich Ataxia	CNS/Brain
Hyperlipoproteinemia Type II	
Leishmaniasis	Skin
Leukemia, Hairy Cell	
Sinusitis	Lung
Panic Disorder	
Lymphoma, Large-Cell, Anaplastic	
Sleep Disorders, Circadian Rhythm	CNS/Brain
Severe Acute Respiratory Syndrome	Lung
Cataract	
Epilepsy, Generalized	CNS/Brain
Hemoglobinuria, Paroxysmal	
Hemophilia A	
Leiomyoma	Uterus
Myeloproliferative Disorders	
Pulmonary Embolism	Lung
