pubchem_id,source,has_trials,trial_count
165411828,EU Clinical Trials Register,True,2
387447,ClinicalTrials.gov,True,762
387447,EU Clinical Trials Register,True,212
387447,NIPH Clinical Trials Search of Japan,True,74
25183872,ClinicalTrials.gov,True,93
25183872,EU Clinical Trials Register,True,21
25183872,NIPH Clinical Trials Search of Japan,True,16
56844015,ClinicalTrials.gov,True,48
56844015,EU Clinical Trials Register,True,28
444972,ClinicalTrials.gov,True,2
444972,NIPH Clinical Trials Search of Japan,True,1
3657,ClinicalTrials.gov,True,172
3657,EU Clinical Trials Register,True,33
3657,NIPH Clinical Trials Search of Japan,True,3
9082,ClinicalTrials.gov,True,1
9082,EU Clinical Trials Register,True,5
11683005,ClinicalTrials.gov,True,10
11683005,NIPH Clinical Trials Search of Japan,True,1
135526609,EU Clinical Trials Register,True,13
135526609,NIPH Clinical Trials Search of Japan,True,1
204,ClinicalTrials.gov,True,1
204,EU Clinical Trials Register,True,2
3385,ClinicalTrials.gov,True,1327
3385,EU Clinical Trials Register,True,446
3385,NIPH Clinical Trials Search of Japan,True,47
10184665,ClinicalTrials.gov,True,27
10184665,EU Clinical Trials Register,True,23
10184665,NIPH Clinical Trials Search of Japan,True,7
14992,EU Clinical Trials Register,True,2
11672905,ClinicalTrials.gov,True,1
5564,ClinicalTrials.gov,True,10
5564,EU Clinical Trials Register,True,1
51082,ClinicalTrials.gov,True,121
51082,EU Clinical Trials Register,True,18
8813,ClinicalTrials.gov,True,23
8813,EU Clinical Trials Register,True,1
135398658,ClinicalTrials.gov,True,234
135398658,EU Clinical Trials Register,True,36
135398658,NIPH Clinical Trials Search of Japan,True,19
445154,ClinicalTrials.gov,True,125
445154,EU Clinical Trials Register,True,130
445154,NIPH Clinical Trials Search of Japan,True,7
107971,ClinicalTrials.gov,True,1
135410875,ClinicalTrials.gov,True,749
135410875,EU Clinical Trials Register,True,215
135410875,NIPH Clinical Trials Search of Japan,True,162
440936,ClinicalTrials.gov,True,1
440936,EU Clinical Trials Register,True,2
12136798,ClinicalTrials.gov,True,17
12136798,EU Clinical Trials Register,True,1
12136798,NIPH Clinical Trials Search of Japan,True,4
73053710,EU Clinical Trials Register,True,2
16760658,ClinicalTrials.gov,True,1
16760658,EU Clinical Trials Register,True,1
338,ClinicalTrials.gov,True,13
338,EU Clinical Trials Register,True,7
338,NIPH Clinical Trials Search of Japan,True,2
11219835,ClinicalTrials.gov,True,31
11219835,EU Clinical Trials Register,True,18
11219835,NIPH Clinical Trials Search of Japan,True,2
2812,ClinicalTrials.gov,True,26
2812,EU Clinical Trials Register,True,10
4614,ClinicalTrials.gov,True,1
6918638,ClinicalTrials.gov,True,49
6918638,EU Clinical Trials Register,True,10
2554,ClinicalTrials.gov,True,92
2554,EU Clinical Trials Register,True,21
2554,NIPH Clinical Trials Search of Japan,True,1
130956,ClinicalTrials.gov,True,4
130956,NIPH Clinical Trials Search of Japan,True,6
23582824,ClinicalTrials.gov,True,1
60750,ClinicalTrials.gov,True,1516
60750,EU Clinical Trials Register,True,426
60750,NIPH Clinical Trials Search of Japan,True,273
6253,ClinicalTrials.gov,True,996
6253,EU Clinical Trials Register,True,187
6253,NIPH Clinical Trials Search of Japan,True,37
6252,ClinicalTrials.gov,True,2
6252,EU Clinical Trials Register,True,3
6029,ClinicalTrials.gov,True,9
6029,NIPH Clinical Trials Search of Japan,True,1
71481097,ClinicalTrials.gov,True,148
71481097,EU Clinical Trials Register,True,25
3440,ClinicalTrials.gov,True,165
3440,EU Clinical Trials Register,True,42
3440,NIPH Clinical Trials Search of Japan,True,33
60961,ClinicalTrials.gov,True,59
60961,EU Clinical Trials Register,True,20
60961,NIPH Clinical Trials Search of Japan,True,4
9444,ClinicalTrials.gov,True,543
9444,EU Clinical Trials Register,True,115
9444,NIPH Clinical Trials Search of Japan,True,17
119182,ClinicalTrials.gov,True,142
119182,EU Clinical Trials Register,True,37
135401907,ClinicalTrials.gov,True,152
135401907,EU Clinical Trials Register,True,53
135401907,NIPH Clinical Trials Search of Japan,True,18
6256,ClinicalTrials.gov,True,5
6256,EU Clinical Trials Register,True,17
6256,NIPH Clinical Trials Search of Japan,True,5
446727,ClinicalTrials.gov,True,2
446727,EU Clinical Trials Register,True,3
5905,ClinicalTrials.gov,True,1
451668,ClinicalTrials.gov,True,316
451668,EU Clinical Trials Register,True,33
451668,NIPH Clinical Trials Search of Japan,True,3
70817911,ClinicalTrials.gov,True,1
46188928,ClinicalTrials.gov,True,15
46188928,EU Clinical Trials Register,True,2
46188928,NIPH Clinical Trials Search of Japan,True,1
67330085,ClinicalTrials.gov,True,5
23725625,ClinicalTrials.gov,True,368
23725625,EU Clinical Trials Register,True,131
23725625,NIPH Clinical Trials Search of Japan,True,29
49831257,ClinicalTrials.gov,True,51
49831257,EU Clinical Trials Register,True,28
49831257,NIPH Clinical Trials Search of Japan,True,4
9887053,ClinicalTrials.gov,True,1177
9887053,EU Clinical Trials Register,True,353
9887053,NIPH Clinical Trials Search of Japan,True,170
2754,ClinicalTrials.gov,True,117
2754,EU Clinical Trials Register,True,7
2754,NIPH Clinical Trials Search of Japan,True,51
10029385,ClinicalTrials.gov,True,3
16222096,ClinicalTrials.gov,True,100
16222096,EU Clinical Trials Register,True,30
16222096,NIPH Clinical Trials Search of Japan,True,1
72165228,ClinicalTrials.gov,True,22
72165228,EU Clinical Trials Register,True,8
72165228,NIPH Clinical Trials Search of Japan,True,3
25227436,ClinicalTrials.gov,True,47
25227436,EU Clinical Trials Register,True,17
25227436,NIPH Clinical Trials Search of Japan,True,5
33630,EU Clinical Trials Register,True,1
148195,ClinicalTrials.gov,True,31
148195,EU Clinical Trials Register,True,4
16362,ClinicalTrials.gov,True,8
16362,EU Clinical Trials Register,True,6
20179,ClinicalTrials.gov,True,11
20179,EU Clinical Trials Register,True,43
2435,ClinicalTrials.gov,True,25
2435,EU Clinical Trials Register,True,6
2435,NIPH Clinical Trials Search of Japan,True,6
11338033,ClinicalTrials.gov,True,2
71766360,ClinicalTrials.gov,True,2
58507717,ClinicalTrials.gov,True,10
58507717,EU Clinical Trials Register,True,5
10195250,ClinicalTrials.gov,True,1
10195250,EU Clinical Trials Register,True,1
6112,ClinicalTrials.gov,True,18
6112,EU Clinical Trials Register,True,1
6437836,ClinicalTrials.gov,True,1
6437836,NIPH Clinical Trials Search of Japan,True,1
4740,ClinicalTrials.gov,True,143
4740,EU Clinical Trials Register,True,20
1986,ClinicalTrials.gov,True,130
1986,EU Clinical Trials Register,True,16
