,Original,Standardized
0,Breast Cancer,Breast Cancer
1,Healthy,Healthy
2,Prostate Cancer,Prostate Cancer
3,Multiple Myeloma,Multiple Myeloma
4,Acute Myeloid Leukemia,Acute Myeloid Leukemia
5,HIV Infections,HIV Infections
6,Rheumatoid Arthritis,Rheumatoid Arthritis
7,Leukemia,Leukemia
8,Colorectal Cancer,Colorectal Cancer
9,Lymphoma,Lymphoma
10,Asthma,Asthma
11,Metastatic Colorectal Cancer,Metastatic Colorectal Cancer
12,Metastatic Breast Cancer,Metastatic Breast Cancer
13,Lung Cancer,Lung Cancer
14,Pancreatic Cancer,Pancreatic Cancer
15,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2"
16,Major Depressive Disorder,Major Depressive Disorder
17,Healthy Volunteers,Healthy Volunteers
18,Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus
19,"Carcinoma, Non-Small-Cell Lung","Carcinoma, Non-Small-Cell Lung"
20,Cancer,Cancer
21,Schizophrenia,Schizophrenia
22,Non-small Cell Lung Cancer,Non-small Cell Lung Cancer
23,Melanoma,Melanoma
24,Non-Small Cell Lung Cancer,Advanced Non-Small Cell Lung Cancer
25,Multiple Sclerosis,Multiple Sclerosis
26,COVID-19,COVID-19
27,Non Small Cell Lung Cancer,Non Small Cell Lung Cancer
28,Atrial Fibrillation,Atrial Fibrillation
29,Hypertension,Hypertension
30,Type 2 Diabetes,Type 2 Diabetes
31,Pain,Pain
32,Ovarian Cancer,Ovarian Cancer
33,Hepatocellular Carcinoma,Hepatocellular Carcinoma
34,Breast Neoplasms,Breast Neoplasms
35,Obesity,Obesity
36,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive"
37,Depression,Depression
38,Coronary Artery Disease,Coronary Artery Disease
39,Neoplasms,Neoplasms
40,Psoriasis,Psoriasis
41,Parkinson Disease,Parkinson Disease
42,Pulmonary Arterial Hypertension,Pulmonary Arterial Hypertension
43,Ulcerative Colitis,Ulcerative Colitis
44,Neuroblastoma,Neuroblastoma
45,Parkinson's Disease,Parkinson's Disease
46,"Arthritis, Rheumatoid","Arthritis, Rheumatoid"
47,Covid19,Covid19
48,Postoperative Pain,Postoperative Pain
49,Atopic Dermatitis,Atopic Dermatitis
50,Osteoarthritis,Osteoarthritis
51,Solid Tumors,Solid Tumors
52,Acne Vulgaris,Acne Vulgaris
53,Stroke,Stroke
54,Gastric Cancer,Gastric Cancer
55,Advanced Breast Cancer,Advanced Breast Cancer
56,Erectile Dysfunction,Erectile Dysfunction
57,Heart Failure,Heart Failure
58,Prostatic Neoplasms,Prostatic Neoplasms
59,HIV,HIV
60,Acute Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia
61,Epilepsy,Epilepsy
62,Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis
63,Colorectal Neoplasms,Colorectal Neoplasms
64,Contraception,Contraception
65,NSCLC,NSCLC
66,Mantle Cell Lymphoma,Mantle Cell Lymphoma
67,"Leukemia, Myeloid, Acute","Leukemia, Myeloid, Acute"
68,"Unspecified Adult Solid Tumor, Protocol Specific",Advanced Solid Malignancies
69,"Pain, Postoperative",Postoperative Pain
70,Renal Cell Carcinoma,Renal Cell Carcinoma
71,Knee Osteoarthritis,Knee Osteoarthritis
72,Malaria,Malaria
73,Head and Neck Cancer,Head and Neck Cancer
74,Myelodysplastic Syndromes,Myelodysplastic Syndromes
75,Chronic Lymphocytic Leukemia,Chronic Lymphocytic Leukemia
76,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease
77,Advanced Solid Tumors,Advanced Solid Tumors
78,Solid Tumor,Solid Tumor
79,Rectal Cancer,Rectal Cancer
80,HIV Infection,HIV Infection
81,Diabetes Mellitus,Diabetes Mellitus
82,Psoriasis Vulgaris,Psoriasis Vulgaris
83,Glaucoma,Glaucoma
84,Hodgkin Lymphoma,Hodgkin Lymphoma
85,Cervical Cancer,Cervical Cancer
86,"Osteoarthritis, Knee","Osteoarthritis, Knee"
87,Healthy Subjects,Healthy Subjects
88,Crohn's Disease,Crohn's Disease
89,Helicobacter Pylori Infection,Helicobacter Pylori Infection
90,Ischemic Stroke,Ischemic Stroke
91,Gout,Gout
92,Bipolar Disorder,Bipolar Disorder
93,Malignant Melanoma,Malignant Melanoma
94,Leukemia; Myelodysplastic Syndromes,Leukemia; Myelodysplastic Syndromes
95,Small Cell Lung Cancer,Small Cell Lung Cancer
96,Endometrial Cancer,Endometrial Cancer
97,"Carcinoma, Renal Cell","Carcinoma, Renal Cell"
98,Migraine,Migraine
99,Alzheimer's Disease,Alzheimer's Disease
100,Leukemia; Lymphoma,Leukemia; Lymphoma
101,Cystic Fibrosis,Cystic Fibrosis
102,Endometriosis,Endometriosis
103,Alzheimer Disease,Alzheimer Disease
104,Brain and Central Nervous System Tumors,Brain and Central Nervous System Tumors
105,Gastrointestinal Stromal Tumors,Gastrointestinal Stromal Tumors
106,Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia (AML)
107,Sarcoma,Sarcoma
108,Metastatic Melanoma,Metastatic Melanoma
109,Myelodysplastic Syndrome,Myelodysplastic Syndrome
110,Bladder Cancer,Bladder Cancer
111,Polycystic Ovary Syndrome,Polycystic Ovary Syndrome
112,Autism Spectrum Disorder,Autism Spectrum Disorder
113,Low Back Pain,Low Back Pain
114,Esophageal Cancer,Esophageal Cancer
115,Advanced Cancer,Advanced Cancer
116,Advanced Solid Tumor,Advanced Solid Tumor
117,Kidney Transplantation,Kidney Transplantation
118,Dental Caries,Dental Caries
119,"Pneumonia, Pneumocystis Carinii; HIV Infections","Pneumonia, Pneumocystis Carinii; HIV Infections"
120,Diffuse Large B Cell Lymphoma,Diffuse Large B Cell Lymphoma
121,Chronic Kidney Disease,Chronic Kidney Disease
122,Healthy Volunteer,Healthy Volunteer
123,Type 1 Diabetes,Type 1 Diabetes
124,Sickle Cell Disease,Sickle Cell Disease
125,Diabetes,Diabetes
126,Follicular Lymphoma,Follicular Lymphoma
127,Metabolic Syndrome,Metabolic Syndrome
128,Colorectal Cancer Metastatic,Colorectal Cancer Metastatic
129,HIV-1 Infection,HIV-1 Infections
130,Diffuse Large B-Cell Lymphoma,B-Cell Non-Hodgkin Lymphoma
131,Non-Hodgkin's Lymphoma,Non-Hodgkin's Lymphoma
132,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus
133,Peripheral Arterial Disease,Peripheral Arterial Disease
134,Anesthesia,Anesthesia
135,Infertility,Infertility
136,Diffuse Large B-cell Lymphoma,Diffuse Large B-cell Lymphoma
137,Metastatic Renal Cell Carcinoma,Metastatic Renal Cell Carcinoma
138,Venous Thromboembolism,Venous Thromboembolism
139,COPD,COPD
140,Triple Negative Breast Cancer,Triple Negative Breast Cancer
141,Kidney Cancer,Kidney Cancer
142,Rosacea,Rosacea
143,Carpal Tunnel Syndrome,Carpal Tunnel Syndrome
144,Plaque Psoriasis,Plaque Psoriasis
145,"Depressive Disorder, Major","Depressive Disorder, Major"
146,Peripheral T Cell Lymphoma,Peripheral T Cell Lymphoma
147,Metastatic Castration-resistant Prostate Cancer,Metastatic Castration-resistant Prostate Cancer
148,Psoriatic Arthritis,Psoriatic Arthritis
149,"Diabetes Mellitus, Type 1",Diabetes Mellitus Type 1
150,Acute Myeloid Leukemia; Myelodysplastic Syndromes,Acute Myeloid Leukemia; Myelodysplastic Syndromes
151,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma
152,Obsessive-Compulsive Disorder,Obsessive-Compulsive Disorder
153,Healthy Participants,Healthy Participants
154,Nasopharyngeal Carcinoma,Nasopharyngeal Carcinoma
155,Cardiovascular Diseases,Cardiovascular Diseases
156,Fibromyalgia,Fibromyalgia
157,AML,Acute Myeloid Leukemia
158,Diabetic Macular Edema,Diabetic Macular Edema
159,Cataract,Cataract
160,Primary Central Nervous System Lymphoma,Primary Central Nervous System Lymphoma
161,Liver Cancer,Liver Cancer
162,Acute Promyelocytic Leukemia,Acute Promyelocytic Leukemia
