drug-cell_line,max_e_distance,drug_organ
Homoharringtonine_CVCL_1097,77.01777543644677,Homoharringtonine_Skin
Homoharringtonine_CVCL_0218,77.01777543644677,Homoharringtonine_Bowel
Harringtonine_CVCL_1478,70.70708497702348,Harringtonine_Lung
Homoharringtonine_CVCL_0366,77.01777543644677,Homoharringtonine_Liver
Homoharringtonine_CVCL_1285,77.01777543644677,Homoharringtonine_Lung
Homoharringtonine_CVCL_0131,77.01777543644677,Homoharringtonine_CNS/Brain
Homoharringtonine_CVCL_1495,77.01777543644677,Homoharringtonine_Lung
Homoharringtonine_CVCL_1478,77.01777543644677,Homoharringtonine_Lung
Homoharringtonine_CVCL_0332,77.01777543644677,Homoharringtonine_Breast
Homoharringtonine_CVCL_1056,77.01777543644677,Homoharringtonine_Kidney
Homoharringtonine_CVCL_0023,77.01777543644677,Homoharringtonine_Lung
Dinaciclib_CVCL_0218,59.208443274901896,Dinaciclib_Bowel
Homoharringtonine_CVCL_0459,77.01777543644677,Homoharringtonine_Lung
Homoharringtonine_CVCL_1715,77.01777543644677,Homoharringtonine_CNS/Brain
Homoharringtonine_CVCL_1119,77.01777543644677,Homoharringtonine_Pancreas
Homoharringtonine_CVCL_0428,77.01777543644677,Homoharringtonine_Pancreas
Dinaciclib_CVCL_1495,59.208443274901896,Dinaciclib_Lung
TAK-901_CVCL_1478,54.00250265556387,TAK-901_Lung
Homoharringtonine_CVCL_0480,77.01777543644677,Homoharringtonine_Pancreas
Homoharringtonine_CVCL_1239,77.01777543644677,Homoharringtonine_CNS/Brain
Dinaciclib_CVCL_0028,59.208443274901896,Dinaciclib_Uterus
Homoharringtonine_CVCL_C466,77.01777543644677,Homoharringtonine_Pancreas
TAK-901_CVCL_0218,54.00250265556387,TAK-901_Bowel
Dinaciclib_CVCL_0366,59.208443274901896,Dinaciclib_Liver
Dinaciclib_CVCL_0099,59.208443274901896,Dinaciclib_Esophagus/Stomach
Homoharringtonine_CVCL_1381,77.01777543644677,Homoharringtonine_Skin
TAK-901_CVCL_0428,54.00250265556387,TAK-901_Pancreas
Homoharringtonine_CVCL_1517,77.01777543644677,Homoharringtonine_Lung
Homoharringtonine_CVCL_0028,77.01777543644677,Homoharringtonine_Uterus
Dinaciclib_CVCL_1478,59.208443274901896,Dinaciclib_Lung
Dinaciclib_CVCL_1094,59.208443274901896,Dinaciclib_Cervix
Harringtonine_CVCL_0218,70.70708497702348,Harringtonine_Bowel
Harringtonine_CVCL_0480,70.70708497702348,Harringtonine_Pancreas
TAK-901_CVCL_0480,54.00250265556387,TAK-901_Pancreas
Homoharringtonine_CVCL_0320,77.01777543644677,Homoharringtonine_Bowel
Homoharringtonine_CVCL_0152,77.01777543644677,Homoharringtonine_Pancreas
Homoharringtonine_CVCL_1666,77.01777543644677,Homoharringtonine_Skin
Homoharringtonine_CVCL_1547,77.01777543644677,Homoharringtonine_Lung
Harringtonine_CVCL_1495,70.70708497702348,Harringtonine_Lung
Homoharringtonine_CVCL_1550,77.01777543644677,Homoharringtonine_Lung
TAK-901_CVCL_0320,54.00250265556387,TAK-901_Bowel
TAK-901_CVCL_0459,54.00250265556387,TAK-901_Lung
Harringtonine_CVCL_0023,70.70708497702348,Harringtonine_Lung
Homoharringtonine_CVCL_0359,77.01777543644677,Homoharringtonine_Bladder/Urinary Tract
Homoharringtonine_CVCL_0069,77.01777543644677,Homoharringtonine_Skin
Harringtonine_CVCL_0332,70.70708497702348,Harringtonine_Breast
Harringtonine_CVCL_1285,70.70708497702348,Harringtonine_Lung
Dinaciclib_CVCL_0292,59.208443274901896,Dinaciclib_Bowel
Dinaciclib_CVCL_1239,59.208443274901896,Dinaciclib_CNS/Brain
Harringtonine_CVCL_1097,70.70708497702348,Harringtonine_Skin
Harringtonine_CVCL_0131,70.70708497702348,Harringtonine_CNS/Brain
Dinaciclib_CVCL_0399,59.208443274901896,Dinaciclib_Bowel
Dinaciclib_CVCL_0023,59.208443274901896,Dinaciclib_Lung
Harringtonine_CVCL_0459,70.70708497702348,Harringtonine_Lung
Ouabain (Octahydrate)_CVCL_0459,40.53536272385318,Ouabain (Octahydrate)_Lung
TAK-901_CVCL_1285,54.00250265556387,TAK-901_Lung
Homoharringtonine_CVCL_1731,77.01777543644677,Homoharringtonine_Lung
Dinaciclib_CVCL_0428,59.208443274901896,Dinaciclib_Pancreas
Homoharringtonine_CVCL_0399,77.01777543644677,Homoharringtonine_Bowel
TAK-901_CVCL_0099,54.00250265556387,TAK-901_Esophagus/Stomach
Homoharringtonine_CVCL_0292,77.01777543644677,Homoharringtonine_Bowel
Harringtonine_CVCL_C466,70.70708497702348,Harringtonine_Pancreas
Harringtonine_CVCL_0428,70.70708497702348,Harringtonine_Pancreas
Dinaciclib_CVCL_1056,59.208443274901896,Dinaciclib_Kidney
TAK-901_CVCL_1517,54.00250265556387,TAK-901_Lung
Harringtonine_CVCL_0366,70.70708497702348,Harringtonine_Liver
TAK-901_CVCL_1547,54.00250265556387,TAK-901_Lung
Dinaciclib_CVCL_0459,59.208443274901896,Dinaciclib_Lung
Homoharringtonine_CVCL_0179,77.01777543644677,Homoharringtonine_Breast
TAK-901_CVCL_0179,54.00250265556387,TAK-901_Breast
Dinaciclib_CVCL_1097,59.208443274901896,Dinaciclib_Skin
TAK-901_CVCL_1635,54.00250265556387,TAK-901_Pancreas
Homoharringtonine_CVCL_1724,77.01777543644677,Homoharringtonine_Bowel
TAK-901_CVCL_0069,54.00250265556387,TAK-901_Skin
Homoharringtonine_CVCL_1635,77.01777543644677,Homoharringtonine_Pancreas
TAK-901_CVCL_1055,54.00250265556387,TAK-901_Lung
Dinaciclib_CVCL_1285,59.208443274901896,Dinaciclib_Lung
Dinaciclib_CVCL_0332,59.208443274901896,Dinaciclib_Breast
Homoharringtonine_CVCL_0293,77.01777543644677,Homoharringtonine_Uterus
TAK-901_CVCL_0397,54.00250265556387,TAK-901_Bowel
TAK-901_CVCL_0023,54.00250265556387,TAK-901_Lung
TAK-901_CVCL_1239,54.00250265556387,TAK-901_CNS/Brain
Harringtonine_CVCL_1666,70.70708497702348,Harringtonine_Skin
Digitoxin_CVCL_0459,37.055997606181805,Digitoxin_Lung
Dinaciclib_CVCL_1381,59.208443274901896,Dinaciclib_Skin
Dinaciclib_CVCL_0546,59.208443274901896,Dinaciclib_Bowel
Homoharringtonine_CVCL_1716,77.01777543644677,Homoharringtonine_Lung
Dinaciclib_CVCL_0480,59.208443274901896,Dinaciclib_Pancreas
Dinaciclib_CVCL_0397,59.208443274901896,Dinaciclib_Bowel
TAK-901_CVCL_1097,54.00250265556387,TAK-901_Skin
TAK-901_CVCL_1119,54.00250265556387,TAK-901_Pancreas
Harringtonine_CVCL_1239,70.70708497702348,Harringtonine_CNS/Brain
Dinaciclib_CVCL_1125,59.208443274901896,Dinaciclib_Peripheral Nervous System
Dinaciclib_CVCL_0069,59.208443274901896,Dinaciclib_Skin
TAK-901_CVCL_1495,54.00250265556387,TAK-901_Lung
TAK-901_CVCL_0399,54.00250265556387,TAK-901_Bowel
TAK-901_CVCL_0546,54.00250265556387,TAK-901_Bowel
PH-797804_CVCL_1097,35.210342456510816,PH-797804_Skin
Auranofin_CVCL_1097,35.05189162587297,Auranofin_Skin
